index,timeStamp,txHash,action,account,amt,gasPrice
0,1576526361,0xcfa3a64a54e096eb23d808fa75f949999ec79eea2a90781c5ef31bc6686ef69a,d,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0.1,13800000000
1,1576526425,0xbacb0105bc982829f3b01ce564fd4ce0c61a4336f6922b681b88b91c149d7190,d,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0.1,13000000000
2,1576533349,0xce166ad8957185cced6499efeffdd8ca000ec1850c9aaf9de31dca311f0c4aa3,d,0xa77a82cfebd23c60af8b6a3492d58960659963ca,0.1,13000000000
0,1576533790,0x9181a1ec35586a5fd8f5dc9208c36b6beb40a041f5a9477b25e67cc3bfe25f64,w,0x0f416bc2d310a1c32bc1081cf354c15fd10d4802,85000000000000000,8000000000
1,1576533985,0xfe420c6d599c427970e26032d162f4c3da261121e0f5d2a36be6aefcb66e5d8c,w,0x0f416bc2d310a1c32bc1081cf354c15fd10d4802,85000000000000000,8000000000
2,1576534118,0x026aa23aab3ab5ff268785db6f35cea3c1d40e703955b356530beb43653ba992,w,0x0f416bc2d310a1c32bc1081cf354c15fd10d4802,85000000000000000,8000000000
3,1576535784,0x6ed9e1fbf44828e01dfea133055146346f89eb2d7021794bb34114995aceddbd,w,0xc809b90cc00b4e13ab6b3cdc0f453e57f46d29e4,85000000000000000,8000000000
4,1576549606,0x1ed75fb412a44e3a5233e158554f2d32e8e5388135e0a0f8d60e5f325d74e319,w,0xc8c30fa803833dd1fd6dbcdd91ed0b301eff87cf,85000000000000000,8000000000
5,1576552317,0xea3a3bae3a73c7edcaeb693c73cce20058a27dce2b12d39d3ed0e94c7d174508,w,0x391c2f7daae08e79ea290358149e06b4caa5cfb3,77000000000000000,9000000000
3,1576552614,0x504e692190a20d65411b2044efe897a5e859b130a5a2c9b320ac1ede4c515feb,d,0x2962bf7d7b13810825dfd61a27d8a598045126dc,0.1,4100000000
4,1576554629,0x4cbdacc0089f81a1e77a4b56724f8feca90e9cbeab6740de1457d3752765f0ea,d,0x85ac9e682995ebebde8ff107fbbbfe7c40992e4a,0.1,16000000000
5,1576566338,0x915234f6530f3d91ea29f96e915c2dd216b95eb5c3521bd041953127041ef47e,d,0x9727ca412f87d46cd4bb6022d27477b232ea8970,0.1,3000000000
6,1576583137,0x0b2b4bddedc09163cbe1dc8ac8e4bd87df31c00021b0c8692b3933078718ac40,w,0xdcbeffbecce100cce9e4b153c4e15cb885643193,77000000000000000,10000000000
7,1576585186,0x026608671ebd8c3be1eb13051d7d3a94592281dd5cb09fe1a0529fc552d399d1,w,0xdcbeffbecce100cce9e4b153c4e15cb885643193,81000000000000000,12000000000
6,1576585454,0x868cead9eb5ab84a1b2e32fafbf9c723dae46290dd6a6ce5251b6391c1c001c6,d,0x03ebd0748aa4d1457cf479cce56309641e0a98f5,0.1,17000000000
7,1576590716,0x58cbb294567315c7258d6e83caa21543026310a5f0999eca1f613296cb325398,d,0x4abc46b6e2e28a924163f80c1e07833ee8122795,0.1,17000000000
8,1576590948,0x8fc878b265fb5c22dcab84e956a0e805eafbce046d9834fbc2a896935dcd08f7,d,0x4abc46b6e2e28a924163f80c1e07833ee8122795,0.1,17000000000
9,1576591506,0x6b503a84faa62cec72ea619b6da520aaef7c68884f4a2b3f838e8979e7d022e4,d,0x4abc46b6e2e28a924163f80c1e07833ee8122795,0.1,17000000000
8,1576602700,0x8242174cae7fc70400fb0f61955a2c2caf638d470d7fd01012ef5b958614293d,w,0xb0e905d912b1aa5276a9c921043fe4c1206cb642,87500000000000000,17000000000
9,1576603437,0xe8c5e1f695e3d528164e190d3f1c46d6d6852c15ef0e094b64581d6507d404a5,w,0xb0e905d912b1aa5276a9c921043fe4c1206cb642,87500000000000000,14000000000
10,1576603747,0x4f466abceffd89ab49388582d300984b2619c6167e40f00f37b5d3d07dfd1303,w,0x0706450432a29791ddd73e61396cba3085c03425,89500000000000000,10000000000
11,1576603882,0x8bfd43f2fa6c42fe077e20bc60ab5e57bbf4d7d808addc09a0f133e188ba0599,w,0x0706450432a29791ddd73e61396cba3085c03425,90500000000000000,10000000000
10,1576610606,0xc994db341def25a12adf24b2bbd71c03a8c95faac99f47e30f1c6aad8a30477b,d,0xe2e54e66ca96f6b316496e5096730548b718c128,0.1,3000000000
11,1576612896,0xa472153aaaafcde4ede889a6b0d78cdf25bc2ac0db340432e367bc9be8bd33da,d,0x3ac2483105a248b77bde927ca41a5bbda968603d,0.1,15000000000
12,1576613063,0x7299debe935d5ce3300e66074076b16549d7e023ce1a261f9061523db2d74bb3,w,0x9f2fa9d413030086d45b3dec659005fa397ccde3,90500000000000000,9460000000
12,1576615017,0x9afde16c6e8f7a7f55597c4ae17bce8fccfad80545b88ba9a81f4fa0a657f238,d,0x22e294835923149e9e3bbf2417794d0a3c01eebf,0.1,15000000000
13,1576617088,0xa9e58ebf592c07951d6c09884c751f78c269d9da5e02d6637dd583e016958b3e,d,0xcf3c459464003d52be5a46df4f8aaf36d3648d1a,0.1,15000000000
14,1576618000,0x0cf72b3b4673421d07b39c3b1ce8da98ba01be4deffe13dddbdeababdc82b33e,d,0x52c11cc11fee069a99d292363f19be7bd5174d8e,0.1,15000000000
